phrase,test_key,lang
Crohns sjukdom symtom,gut_microbiome_test_xl,sv
IBD,gut_microbiome_test_xl,sv
IBS,gut_microbiome_test_xl,sv
SIBO,gut_microbiome_test_xl,sv
bajsar ofta,gut_microbiome_test_xl,sv
bajsar sällan,gut_microbiome_test_xl,sv
bakteriell överväxt,gut_microbiome_test_xl,sv
bloating,gut_microbiome_test_xl,sv
blod i avföringen,gut_microbiome_test_xl,sv
brain fog,gut_microbiome_test_xl,sv
brännande mage,gut_microbiome_test_xl,sv
buksmärta,gut_microbiome_test_xl,sv
buksmärta höger sida,gut_microbiome_test_xl,sv
buksmärta vänster sida,gut_microbiome_test_xl,sv
bukspänning,gut_microbiome_test_xl,sv
candida,gut_microbiome_test_xl,sv
diarré,gut_microbiome_test_xl,sv
digestive issues,gut_microbiome_test_xl,sv
dysbios,gut_microbiome_test_xl,sv
dålig matsmältning,gut_microbiome_test_xl,sv
dålig tarmflora,gut_microbiome_test_xl,sv
eksem kopplat till kost,gut_microbiome_test_xl,sv
fekal urgens,gut_microbiome_test_xl,sv
fermentering i tarmen,gut_microbiome_test_xl,sv
flatulens,gut_microbiome_test_xl,sv
förstoppning,gut_microbiome_test_xl,sv
förändrad avföring,gut_microbiome_test_xl,sv
gallbesvär,gut_microbiome_test_xl,sv
gallstenssmärta,gut_microbiome_test_xl,sv
gasbesvär,gut_microbiome_test_xl,sv
gaser i magen,gut_microbiome_test_xl,sv
gaser som luktar illa,gut_microbiome_test_xl,sv
gasig,gut_microbiome_test_xl,sv
gasproblem,gut_microbiome_test_xl,sv
gastrit,gut_microbiome_test_xl,sv
gastrit smärta,gut_microbiome_test_xl,sv
halsbränna,gut_microbiome_test_xl,sv
har Crohns sjukdom symtom,gut_microbiome_test_xl,sv
har IBD,gut_microbiome_test_xl,sv
har IBS,gut_microbiome_test_xl,sv
har SIBO,gut_microbiome_test_xl,sv
har bajsar ofta,gut_microbiome_test_xl,sv
har bajsar sällan,gut_microbiome_test_xl,sv
har bakteriell överväxt,gut_microbiome_test_xl,sv
har bloating,gut_microbiome_test_xl,sv
har blod i avföringen,gut_microbiome_test_xl,sv
har brain fog,gut_microbiome_test_xl,sv
har brännande mage,gut_microbiome_test_xl,sv
har buksmärta,gut_microbiome_test_xl,sv
har buksmärta höger sida,gut_microbiome_test_xl,sv
har buksmärta vänster sida,gut_microbiome_test_xl,sv
har bukspänning,gut_microbiome_test_xl,sv
har candida,gut_microbiome_test_xl,sv
har diarré,gut_microbiome_test_xl,sv
har digestive issues,gut_microbiome_test_xl,sv
har dysbios,gut_microbiome_test_xl,sv
har dålig matsmältning,gut_microbiome_test_xl,sv
har dålig tarmflora,gut_microbiome_test_xl,sv
har eksem kopplat till kost,gut_microbiome_test_xl,sv
har fekal urgens,gut_microbiome_test_xl,sv
har fermentering i tarmen,gut_microbiome_test_xl,sv
har flatulens,gut_microbiome_test_xl,sv
har förstoppning,gut_microbiome_test_xl,sv
har förändrad avföring,gut_microbiome_test_xl,sv
har gallbesvär,gut_microbiome_test_xl,sv
har gallstenssmärta,gut_microbiome_test_xl,sv
har gasbesvär,gut_microbiome_test_xl,sv
har gaser i magen,gut_microbiome_test_xl,sv
har gaser som luktar illa,gut_microbiome_test_xl,sv
har gasig,gut_microbiome_test_xl,sv
har gasproblem,gut_microbiome_test_xl,sv
har gastrit,gut_microbiome_test_xl,sv
har gastrit smärta,gut_microbiome_test_xl,sv
har halsbränna,gut_microbiome_test_xl,sv
har hemska gaser,gut_microbiome_test_xl,sv
har hjärndimma,gut_microbiome_test_xl,sv
har hudutslag kopplat till mage,gut_microbiome_test_xl,sv
har hypoklorhydri,gut_microbiome_test_xl,sv
har hård mage,gut_microbiome_test_xl,sv
har illamående,gut_microbiome_test_xl,sv
har inflammation i tarmen,gut_microbiome_test_xl,sv
har intestinal gas,gut_microbiome_test_xl,sv
har irriterad tarm,gut_microbiome_test_xl,sv
har kolik,gut_microbiome_test_xl,sv
har kolit,gut_microbiome_test_xl,sv
har kramp i magen,gut_microbiome_test_xl,sv
har kroniska magsmärtor,gut_microbiome_test_xl,sv
har kroniska tarmproblem,gut_microbiome_test_xl,sv
har kräkningar,gut_microbiome_test_xl,sv
har kurrande mage,gut_microbiome_test_xl,sv
har känslig tarm,gut_microbiome_test_xl,sv
har leaky gut,gut_microbiome_test_xl,sv
har läckande tarm,gut_microbiome_test_xl,sv
har låg magsyra,gut_microbiome_test_xl,sv
har lös mage,gut_microbiome_test_xl,sv
har mage ballongkänsla,gut_microbiome_test_xl,sv
har maginfluensa ofta,gut_microbiome_test_xl,sv
har magkatarr,gut_microbiome_test_xl,sv
har magknip,gut_microbiome_test_xl,sv
har magkramper,gut_microbiome_test_xl,sv
har magont,gut_microbiome_test_xl,sv
har magsmärtor,gut_microbiome_test_xl,sv
har magsyra,gut_microbiome_test_xl,sv
har magsår,gut_microbiome_test_xl,sv
har magsårsmärta,gut_microbiome_test_xl,sv
har obalans i tarmfloran,gut_microbiome_test_xl,sv
har oförklarlig viktuppgång,gut_microbiome_test_xl,sv
har ont i magen,gut_microbiome_test_xl,sv
har ont i magen barn,gut_microbiome_test_xl,sv
har orolig mage,gut_microbiome_test_xl,sv
har otydlig magvärk,gut_microbiome_test_xl,sv
har parasit i mage,gut_microbiome_test_xl,sv
har rapar mycket,gut_microbiome_test_xl,sv
har rapningar,gut_microbiome_test_xl,sv
har reflux,gut_microbiome_test_xl,sv
har slemmig avföring,gut_microbiome_test_xl,sv
har slemmigt bajs,gut_microbiome_test_xl,sv
har smärta när jag äter,gut_microbiome_test_xl,sv
har smärta under naveln,gut_microbiome_test_xl,sv
har smärta över naveln,gut_microbiome_test_xl,sv
har sprängande buk,gut_microbiome_test_xl,sv
har stomi problem,gut_microbiome_test_xl,sv
har stressmage,gut_microbiome_test_xl,sv
har sur mage,gut_microbiome_test_xl,sv
har sura uppstötningar,gut_microbiome_test_xl,sv
har svamp i tarmen,gut_microbiome_test_xl,sv
har svullen mage,gut_microbiome_test_xl,sv
har svår matsmältning,gut_microbiome_test_xl,sv
har svårt att gå på toaletten,gut_microbiome_test_xl,sv
har tarmbesvär,gut_microbiome_test_xl,sv
