post_id	title	ingredient_label	base_amount	base_unit	multiplier	final_amount	final_unit	note	is_functional
287583	Spenatsoppa med rostade pumpafrön	vitlök (1 klyfta)	1.0	klyfta	1.0	1.0	klyfta		0
287583	Spenatsoppa med rostade pumpafrön	färsk ingefära (1 tsk)	1.0	tsk	1.0	1.0	tsk		1
287583	Spenatsoppa med rostade pumpafrön	olivolja (1 msk)	1.0	msk	1.0	1.0	msk		1
287583	Spenatsoppa med rostade pumpafrön	fryst spenat (100 g)	100.0	g	1.5	150.0	g		0
287583	Spenatsoppa med rostade pumpafrön	vatten (1 dl)	1.0	dl	2.0	2.0	dl		0
287583	Spenatsoppa med rostade pumpafrön	konserverade vita bönor (100 g)	100.0	g	2.0	200.0	g		0
287583	Spenatsoppa med rostade pumpafrön	kokosmjölk (100 ml)	100.0	ml	4.0	400.0	ml		0
287583	Spenatsoppa med rostade pumpafrön	srirachasås (1 tsk)	1.0	tsk	0.5	0.5	tsk		0
287583	Spenatsoppa med rostade pumpafrön	salt och svartpeppar	None	None	None	None	None		0
287583	Spenatsoppa med rostade pumpafrön	pumpafrön (1 msk)	1.0	msk	1.0	1.0	msk		1
287583	Spenatsoppa med rostade pumpafrön	honung (1 tsk)	1.0	tsk	0.5	0.5	tsk		0
287583	Spenatsoppa med rostade pumpafrön	kokosskivor (1 msk)	1.0	msk	2.0	2.0	msk		0
287585	Macka med ost	morot- och kesolimpa (1 skiva)	1.0	skiva	1.0	1.0	skiva		1
287585	Macka med ost	smör (1 tsk)	1.0	tsk	1.0	1.0	tsk		0
287585	Macka med ost	ost (1 skiva)	1.0	skiva	1.0	1.0	skiva		0
287585	Macka med ost	paprikaringar (1 st)	1.0	st	2.0	2.0	st		1
287581	Grön juice	spenat (100 g)	100.0	g	0.4	40.0	g		1
287581	Grön juice	selleristjälkar (1 st)	1.0	st	4.0	4.0	st		1
287581	Grön juice	apelsiner (1 st)	1.0	st	2.0	2.0	st		0
287581	Grön juice	färsk ingefära (1 msk)	1.0	msk	1.0	1.0	msk		1
287581	Grön juice	lime (1 st)	1.0	st	1.0	1.0	st		0
287581	Grön juice	vatten (1 dl)	1.0	dl	1.5	1.5	dl		0
287579	Stekt ägg med champinjoner	ägg (1 st)	1.0	st	2.0	2.0	st		1
287579	Stekt ägg med champinjoner	färska champinjoner (1 st)	1.0	st	5.0	5.0	st		1
287579	Stekt ägg med champinjoner	smör (1 tsk)	1.0	tsk	1.0	1.0	tsk		0
287579	Stekt ägg med champinjoner	sötstark senap (1 msk)	1.0	msk	0.5	0.5	msk		0
287579	Stekt ägg med champinjoner	färsk persilja (1 kvist)	1.0	kvist	1.0	1.0	kvist		1
287577	Ägghack i salladsblad	kokta ägg (1 st)	1.0	st	2.0	2.0	st		1
287577	Ägghack i salladsblad	majonäs (1 msk)	1.0	msk	1.0	1.0	msk		0
287577	Ägghack i salladsblad	salt och svartpeppar	None	None	None	None	None		0
287577	Ägghack i salladsblad	romansallad (1 blad)	1.0	blad	2.0	2.0	blad		1
287577	Ägghack i salladsblad	färsk dill (1 msk)	1.0	msk	0.5	0.5	msk		0
287577	Ägghack i salladsblad	cocktailtomater (1 st)	1.0	st	3.0	3.0	st		0
287577	Ägghack i salladsblad	färsk dill (1 kvist)	1.0	kvist	1.0	1.0	kvist		1
287575	Overnightoats med morot	havregryn (1 dl)	1.0	dl	1.0	1.0	dl		0
287575	Overnightoats med morot	mjölk (1 dl)	1.0	dl	1.0	1.0	dl		0
287575	Overnightoats med morot	grekisk yoghurt (1 dl)	1.0	dl	0.5	0.5	dl		0
287575	Overnightoats med morot	morot (1 st)	1.0	st	0.25	0.25	st		1
287575	Overnightoats med morot	agavesirap (1 tsk)	1.0	tsk	1.0	1.0	tsk		0
287575	Overnightoats med morot	salt (1 krm)	1.0	krm	1.0	1.0	krm		0
287575	Overnightoats med morot	kanel (1 tsk)	1.0	tsk	0.5	0.5	tsk		0
287575	Overnightoats med morot	vaniljpulver (1 krm)	1.0	krm	1.0	1.0	krm		0
287575	Overnightoats med morot	russin (1 msk)	1.0	msk	1.0	1.0	msk		0
287575	Overnightoats med morot	valnötter (1 msk)	1.0	msk	1.0	1.0	msk		0
287575	Overnightoats med morot	chiafrön (1 msk)	1.0	msk	0.5	0.5	msk		1
287575	Overnightoats med morot	valnötter (1 st)	1.0	st	2.0	2.0	st		1
287573	Yoghurt med bovetegranola och frukt	grekisk yoghurt (1 dl)	1.0	dl	1.0	1.0	dl		1
287573	Yoghurt med bovetegranola och frukt	färsk mango (1 st)	1.0	st	0.25	0.25	st		0
287573	Yoghurt med bovetegranola och frukt	kiwi (1 st)	1.0	st	1.0	1.0	st		1
287573	Yoghurt med bovetegranola och frukt	bovetegranola (1 portion)	1.0	portion	1.0	1.0	portion		1
287571	Smoothiebowl med mango och pistagenötter	fryst mango (1 dl)	1.0	dl	2.0	2.0	dl		0
287571	Smoothiebowl med mango och pistagenötter	banan (1 st)	1.0	st	0.5	0.5	st		0
287571	Smoothiebowl med mango och pistagenötter	havregryn (1 dl)	1.0	dl	0.5	0.5	dl		0
287571	Smoothiebowl med mango och pistagenötter	grekisk yoghurt (1 dl)	1.0	dl	1.0	1.0	dl		0
287571	Smoothiebowl med mango och pistagenötter	agavesirap (1 tsk)	1.0	tsk	1.0	1.0	tsk		0
287571	Smoothiebowl med mango och pistagenötter	färsk mango (1 st)	1.0	st	0.25	0.25	st		1
287571	Smoothiebowl med mango och pistagenötter	pistagenötter (1 msk)	1.0	msk	1.0	1.0	msk		1
287571	Smoothiebowl med mango och pistagenötter	hampafrön (1 msk)	1.0	msk	0.5	0.5	msk		0
287571	Smoothiebowl med mango och pistagenötter	granatäppelkärnor (1 dl)	1.0	dl	0.5	0.5	dl		1
287508	Bovetegranola	hel bovete (1 dl)	1.0	dl	2.5	2.5	dl		1
287508	Bovetegranola	kokande vatten (1 dl)	1.0	dl	5.0	5.0	dl		0
287508	Bovetegranola	havregryn (1 dl)	1.0	dl	3.0	3.0	dl		0
287508	Bovetegranola	mandel (1 dl)	1.0	dl	1.0	1.0	dl		0
287508	Bovetegranola	valnötter (1 dl)	1.0	dl	1.0	1.0	dl		1
287508	Bovetegranola	solroskärnor (1 dl)	1.0	dl	1.0	1.0	dl		0
287508	Bovetegranola	salt (1 krm)	1.0	krm	1.0	1.0	krm		0
287508	Bovetegranola	vaniljsocker (1 msk)	1.0	msk	1.0	1.0	msk		0
287508	Bovetegranola	kokosolja (1 dl)	1.0	dl	1.0	1.0	dl		1
287508	Bovetegranola	honung (1 msk)	1.0	msk	3.0	3.0	msk		0
287508	Bovetegranola	kokosflingor (1 dl)	1.0	dl	1.0	1.0	dl		0
287508	Bovetegranola	kokosskivor (1 dl)	1.0	dl	1.0	1.0	dl		0
287508	Bovetegranola	torkad papaya (1 dl)	1.0	dl	1.5	1.5	dl		0
287562	Citronkaka med äpple och kardemumma	smör (100 g)	100.0	g	1.5	150.0	g		0
287562	Citronkaka med äpple och kardemumma	mandelmjöl (1 dl)	1.0	dl	2.25	2.25	dl		1
287562	Citronkaka med äpple och kardemumma	havregryn (1 dl)	1.0	dl	2.25	2.25	dl		0
287562	Citronkaka med äpple och kardemumma	vaniljsocker (1 tsk)	1.0	tsk	2.0	2.0	tsk		0
287562	Citronkaka med äpple och kardemumma	agavesirap (1 dl)	1.0	dl	0.5	0.5	dl		0
287562	Citronkaka med äpple och kardemumma	havregrädde (1 dl)	1.0	dl	2.0	2.0	dl		0
287562	Citronkaka med äpple och kardemumma	färskost naturell (100 g)	100.0	g	1.4	140.0	g		0
287562	Citronkaka med äpple och kardemumma	lemoncurd (100 g)	100.0	g	1.25	125.0	g		0
287562	Citronkaka med äpple och kardemumma	citron (1 st)	1.0	st	1.0	1.0	st		1
287562	Citronkaka med äpple och kardemumma	kardemumma (1 tsk)	1.0	tsk	1.0	1.0	tsk		0
287562	Citronkaka med äpple och kardemumma	äpplen (1 st)	1.0	st	2.0	2.0	st		1
287560	Entrecote med haricots verts och bearnaisesås	entrecote (100 g)	100.0	g	3.0	300.0	g		1
287560	Entrecote med haricots verts och bearnaisesås	salt och svartpeppar	None	None	None	None	None		0
287560	Entrecote med haricots verts och bearnaisesås	smör (1 tsk)	1.0	tsk	1.0	1.0	tsk		0
287560	Entrecote med haricots verts och bearnaisesås	haricots verts (100 g)	100.0	g	2.0	200.0	g		1
287560	Entrecote med haricots verts och bearnaisesås	örtagårdskrydda (1 krm)	1.0	krm	1.0	1.0	krm		0
287560	Entrecote med haricots verts och bearnaisesås	bearnaisesås (1 msk)	1.0	msk	2.0	2.0	msk		0
287558	Köttfärsbiffar med mozzarella och tomatsallad	nötfärs (100 g)	100.0	g	3.5	350.0	g		0
287558	Köttfärsbiffar med mozzarella och tomatsallad	rödlök (1 st)	1.0	st	0.5	0.5	st		0
287558	Köttfärsbiffar med mozzarella och tomatsallad	basilikablad (1 st)	1.0	st	8.0	8.0	st		0
287558	Köttfärsbiffar med mozzarella och tomatsallad	soltorkade tomater (1 st)	1.0	st	4.0	4.0	st		0
287558	Köttfärsbiffar med mozzarella och tomatsallad	örtagårdskrydda (1 tsk)	1.0	tsk	1.0	1.0	tsk		0
287558	Köttfärsbiffar med mozzarella och tomatsallad	salt och svartpeppar	None	None	None	None	None		0
287558	Köttfärsbiffar med mozzarella och tomatsallad	mozzarella (100 g)	100.0	g	1.25	125.0	g		0
287558	Köttfärsbiffar med mozzarella och tomatsallad	tomater (1 st)	1.0	st	3.0	3.0	st		0
287558	Köttfärsbiffar med mozzarella och tomatsallad	fänkål (1 st)	1.0	st	0.5	0.5	st		1
