Dag;Måltid;Receptnamn;Länk
"Måndag";"Frukost";"Yoghurt med ketomüsli (378 kcal)";"/kunskapsbank/recept/yoghurt-med-ketomusli-378-kcal"
"Måndag";"Lunch";"Tonfisksallad med äpple (443 kcal)";"/kunskapsbank/recept/tonfisksallad-med-apple-443-kcal"
"Måndag";"Middag";"Squashspagetti med köttfärssås (337 kcal)";"/kunskapsbank/recept/squashspagetti-med-kottfarssas-337-kcal"
"Tisdag";"Frukost";"Stekt ägg med lax (286 kcal)";"/kunskapsbank/recept/stekt-agg-med-lax-286-kcal"
"Tisdag";"Lunch";"Squashspagetti med köttfärssås (337 kcal) rester";"/kunskapsbank/recept/squashspagetti-med-kottfarssas-337-kcal-rester"
"Tisdag";"Middag";"Het ratatouille (157 kcal)";"/kunskapsbank/recept/het-ratatouille-157-kcal"
"Onsdag";"Frukost";"Grön juice (133 kcal)";"/kunskapsbank/recept/gron-juice-133-kcal"
"Onsdag";"Lunch";"Pokébowl med kyckling (350 kcal)";"/kunskapsbank/recept/pokebowl-med-kyckling-350-kcal"
"Onsdag";"Middag";"Köttfärsbiffar med stekt blomkål (355 kcal)";"/kunskapsbank/recept/kottfarsbiffar-med-stekt-blomkal-355-kcal"
"Torsdag";"Frukost";"Omelett med tomat (240 kcal)";"/kunskapsbank/recept/omelett-med-tomat-240-kcal"
"Torsdag";"Lunch";"Het ratatouille (157 kcal) rester";"/kunskapsbank/recept/het-ratatouille-157-kcal-rester"
"Torsdag";"Middag";"Pokébowl med kyckling (350 kcal) rester";"/kunskapsbank/recept/pokebowl-med-kyckling-350-kcal-rester"
"Fredag";"Frukost";"1 havrefrallor med morötter och aprikoser + valfritt pålägg (354 kcal)";"/kunskapsbank/recept/1-havrefrallor-med-morotter-och-aprikoser-valfritt-palagg-354-kcal"
"Fredag";"Lunch";"Köttfärsbiffar med stekt blomkål (355 kcal)rester";"/kunskapsbank/recept/kottfarsbiffar-med-stekt-blomkal-355-kcal-rester"
"Fredag";"Middag";"Kycklinggryta med bakad spetskål (650 kcal)";"/kunskapsbank/recept/kycklinggryta-med-bakad-spetskal-650-kcal"
"Lördag";"Frukost";"Tropisk smoothiebowl (461 kcal)";"/kunskapsbank/recept/tropisk-smoothiebowl-461-kcal"
"Lördag";"Lunch";"Kycklinggryta med bakad spetskål (650 kcal)rester";"/kunskapsbank/recept/kycklinggryta-med-bakad-spetskal-650-kcal-rester"
"Lördag";"Middag";"Laxburgare med krämig grönsaksröra (700 kcal) Mangoglass (123 kcal)";"/kunskapsbank/recept/laxburgare-med-kramig-gronsaksrora-700-kcal-mangoglass-123-kcal"
"Söndag";"Frukost";"Tropisk smoothiebowl (461 kcal) rester";"/kunskapsbank/recept/tropisk-smoothiebowl-461-kcal-rester"
"Söndag";"Lunch";"Laxburgare med krämig grönsaksröra (700 kcal) rester";"/kunskapsbank/recept/laxburgare-med-kramig-gronsaksrora-700-kcal-rester"
"Söndag";"Middag";"Ugnsbakad tomat med köttfärs (507 kcal)";"/kunskapsbank/recept/ugnsbakad-tomat-med-kottfars-507-kcal"
